Number of data,Temperature/℃,Humidity/%,Na2SO4/ωt%,NaHCO3/ωt% ,NaNO3/ωt%,Salinity/ωt%,Ultraviolet light/mW·cm-2,Time/h,Corrosion rate/g·h-1m-2,Added Weight
1,35,65,0.001,0.001,0.001,0.1,10,6,0.9954,5.972222222
2,35,65,0.001,0.001,0.001,0.1,10,12,0.3472,4.166666667
3,35,65,0.001,0.001,0.001,0.1,10,24,0.3884,9.320987654
4,35,65,0.001,0.001,0.001,0.1,10,30,0.5895,17.68518519
5,35,65,0.001,0.001,0.001,0.1,10,36,0.3884,13.98148148
6,35,65,0.001,0.001,0.001,0.1,10,48,0.5652,27.12962963
7,35,65,0.001,0.001,0.001,0.1,10,54,0.475,25.64814815
8,35,65,0.001,0.001,0.001,0.1,10,60,0.385,23.10185185
9,35,65,0.001,0.001,0.001,0.1,10,72,0.452,32.5462963
10,35,65,0.001,0.001,0.001,0.1,10,78,0.3104,24.21296296
11,35,65,0.001,0.001,0.001,0.1,10,84,0.436,36.62037037
12,35,65,0.001,0.001,0.001,0.1,10,96,0.3501,33.61111111
13,35,65,0.001,0.001,0.001,0.1,10,102,0.5347,54.53703704
14,35,65,0.001,0.001,0.001,0.1,10,108,0.6254,67.5462963
15,35,65,0.001,0.001,0.001,0.1,10,120,0.7326,87.91666667
16,35,65,0.001,0.001,0.001,0.1,10,126,0.3351,42.22222222
17,35,65,0.001,0.001,0.001,0.1,10,132,0.3349,44.21296296
18,35,65,0.001,0.001,0.001,0.1,10,144,0.2964,42.68518519
19,35,65,0.001,0.001,0.001,0.1,10,150,0.5157,77.36111111
20,35,65,0.001,0.001,0.001,0.1,10,156,0.5648,88.10185185
21,35,65,0.001,0.001,0.001,0.1,10,168,0.6592,110.7407407
22,35,75,0.006,0.006,0.006,1,36,6,0.7639,4.583333333
23,35,75,0.006,0.006,0.006,1,36,12,0.7446,8.935185185
24,35,75,0.006,0.006,0.006,1,36,24,1.2153,29.16666667
25,35,75,0.006,0.006,0.006,1,36,30,1.3102,39.30555556
26,35,75,0.006,0.006,0.006,1,36,36,0.6224,22.40740741
27,35,75,0.006,0.006,0.006,1,36,48,0.5748,27.59259259
28,35,75,0.006,0.006,0.006,1,36,54,0.5221,28.19444444
29,35,75,0.006,0.006,0.006,1,36,60,0.5965,35.78703704
30,35,75,0.006,0.006,0.006,1,36,72,0.4887,35.18518519
31,35,75,0.006,0.006,0.006,1,36,78,0.4184,32.63888889
32,35,75,0.006,0.006,0.006,1,36,84,0.4652,39.07407407
33,35,75,0.006,0.006,0.006,1,36,96,0.4745,45.55555556
34,35,75,0.006,0.006,0.006,1,36,102,0.4344,44.30555556
35,35,75,0.006,0.006,0.006,1,36,108,0.4102,44.30555556
36,35,75,0.006,0.006,0.006,1,36,120,0.4062,48.75
37,35,75,0.006,0.006,0.006,1,36,126,0.4405,55.50925926
38,35,75,0.006,0.006,0.006,1,36,132,0.4226,55.78703704
39,35,75,0.006,0.006,0.006,1,36,144,0.4154,59.81481481
40,35,75,0.006,0.006,0.006,1,36,150,0.4293,64.39814815
41,35,75,0.006,0.006,0.006,1,36,156,0.3499,54.58333333
42,35,75,0.006,0.006,0.006,1,36,168,0.418,70.23148148
43,35,85,0.008,0.008,0.008,3.5,48.2,6,2.8472,17.08333333
44,35,85,0.008,0.008,0.008,3.5,48.2,12,2.1605,25.92592593
45,35,85,0.008,0.008,0.008,3.5,48.2,24,1.5374,36.89814815
46,35,85,0.008,0.008,0.008,3.5,48.2,30,1.3935,41.80555556
47,35,85,0.008,0.008,0.008,3.5,48.2,36,1.34,48.24074074
48,35,85,0.008,0.008,0.008,3.5,48.2,48,1.14,54.72222222
49,35,85,0.008,0.008,0.008,3.5,48.2,54,0.7056,38.10185185
50,35,85,0.008,0.008,0.008,3.5,48.2,60,0.8333,50
51,35,85,0.008,0.008,0.008,3.5,48.2,72,0.5813,41.85185185
52,35,85,0.008,0.008,0.008,3.5,48.2,78,0.5205,40.60185185
53,35,85,0.008,0.008,0.008,3.5,48.2,84,0.5451,45.78703704
54,35,85,0.008,0.008,0.008,3.5,48.2,96,0.515,49.44444444
55,35,85,0.008,0.008,0.008,3.5,48.2,102,0.9477,96.66666667
56,35,85,0.008,0.008,0.008,3.5,48.2,108,0.5174,55.87962963
57,35,85,0.008,0.008,0.008,3.5,48.2,120,0.9525,114.3055556
58,35,85,0.008,0.008,0.008,3.5,48.2,126,0.6287,79.21296296
59,35,85,0.008,0.008,0.008,3.5,48.2,132,0.638,84.21296296
60,35,85,0.008,0.008,0.008,3.5,48.2,144,0.6305,90.78703704
61,35,85,0.008,0.008,0.008,3.5,48.2,150,0.5963,89.44444444
62,35,85,0.008,0.008,0.008,3.5,48.2,156,0.601,93.75
63,35,85,0.008,0.008,0.008,3.5,48.2,168,0.4161,69.90740741
64,35,95,0.001,0.001,0.001,5,63.2,6,2.1373,12.82407407
65,35,95,0.001,0.001,0.001,5,63.2,12,1.0841,13.00925926
66,35,95,0.001,0.001,0.001,5,63.2,24,0.6906,16.57407407
67,35,95,0.001,0.001,0.001,5,63.2,30,0.5525,16.57407407
68,35,95,0.001,0.001,0.001,5,63.2,36,0.6211,22.36111111
69,35,95,0.001,0.001,0.001,5,63.2,48,1.4709,70.60185185
70,35,95,0.001,0.001,0.001,5,63.2,54,0.4467,24.12037037
71,35,95,0.001,0.001,0.001,5,63.2,60,0.4861,29.16666667
72,35,95,0.001,0.001,0.001,5,63.2,72,0.4604,33.14814815
73,35,95,0.001,0.001,0.001,5,63.2,78,0.6262,48.84259259
74,35,95,0.001,0.001,0.001,5,63.2,84,0.5787,48.61111111
