Number of data,Temperature/℃,Humidity/%,Na2SO4  /mol·L,NaHCO3 /mol·L ,NaNO3 /mol·L,Ultraviolet light/μW·cm-2,Time/h,Corrosion rate/mg·cm-2,weight,kalman_0.5,kalman_1
61,40,95,0,0,0,0,12,0.21844,2.62128,2.657576085,2.651526737
62,40,95,0,0,0,0,24,0.19251,4.62024,4.977076332,4.898980106
63,40,95,0,0,0,0,36,0.18473,6.65028,7.163577586,7.016268692
64,40,95,0,0,0,0,48,0.18957,9.09936,9.48634072,9.339496491
65,40,95,0,0,0,0,60,0.13556,8.1336,10.16449154,9.630026518
66,40,95,0,0,0,0,72,0.12575,9.054,10.96490589,10.30991175
67,40,95,0,0,0,0,84,0.09582,8.04888,10.86277424,9.948414538
68,40,95,0,0,0,0,96,0.05682,5.45472,9.51471076,8.207057638
69,40,95,0,0,0,0,108,0.07357,7.94556,10.08613936,9.081342724
70,40,95,0,0,0,0,120,0.08111,9.7332,11.26567869,10.52011222
71,40,95,0,0,0,0,132,0.09582,12.64824,13.31296933,12.87126706
72,40,95,0,0,0,0,144,0.06852,9.86688,12.94593463,12.05035328
73,40,95,0,0,0,0,156,0.08752,13.65312,14.65553741,14.07681713
74,40,95,0,0,0,0,168,0.05852,9.83136,13.5994588,12.48887987
75,40,95,0,0,0,0,180,0.07982,14.3676,15.33953951,14.68589231
76,40,95,0,0,0,0,192,0.0841,16.1472,17.09937986,16.62492967
77,40,95,0,0,0,0,204,0.07142,14.56968,17.19054003,16.39061506
78,40,95,0,0,0,0,216,0.07852,16.96032,18.43144012,17.77861162
79,40,95,0,0,0,0,228,0.06989,15.93492,18.53919017,17.67504708
80,40,95,0,0,0,0,240,0.0772,18.528,19.88960519,19.23810052
81,40,95,0,0,0,0,252,0.06988,17.60976,20.1056927,19.26763027
82,40,95,0,0,0,0,264,0.06999,18.47736,20.64753646,19.81511593
83,40,95,0,0,0,0,276,0.07121,19.65396,21.50675833,20.75141563
84,40,95,0,0,0,0,288,0.06889,19.84032,22.02954927,21.22422711
85,40,95,0,0,0,0,300,0.07444,22.332,23.53678474,22.94476795
86,40,95,0,0,0,0,312,0.06882,21.47184,23.86032248,23.07034796
87,40,95,0,0,0,0,324,0.07121,23.07204,24.82219134,24.10729324
88,40,95,0,0,0,0,336,0.0701,23.5536,25.54390578,24.80099154
89,40,95,0,0,0,0,348,0.06899,24.00852,26.13222299,25.34711674
90,40,95,0,0,0,0,360,0.07101,25.5636,27.2039216,26.51681029
